,perma1,perma2,perma4,perma5,perma6,perma8,perma9,perma10,perma13,perma14,perma16,perma19,perma22,perma23,perma24,perma26,perma27,perma29,perma30,perma33,perma34,perma35,perma36,perma37,perma38,perma41,perma44,perma45,perma46,perma49,perma51,perma52,perma53,perma54,perma55,perma57,perma58,perma59
Connect_chattime,-0.2701777891368468,-0.0200664137044011,-0.4065527475833868,0.2262225501733284,0.4668610331029425,,-0.1101888974634614,-0.1267220955944915,0.0802925169696949,-0.014919067882991,0.0012059459004533,-0.1625520746932753,-0.3037213026957844,-0.1879077965116217,0.1705212711929407,0.0664162475279837,-0.2374748994174235,-0.3902716441285491,0.2609557613746487,-0.0839137641617345,-0.2159261509934686,0.0104588687443895,-0.172490396828426,-0.1413736588058879,0.2623980242926604,-0.2634675490638614,-0.2130548219272174,0.0752331332399282,0.0181050380593658,-0.0849438326753713,-0.3064551706453111,0.2846470231966491,0.015319816231366,-0.0522941941949602,-0.1684307020972659,0.0136239640770508,-0.2656116861648278,-0.1965296213036049
Sleep_duration,-0.2544909810177974,-0.0838043802556371,0.1807008531209184,-0.1348913947365714,0.3517822282491066,0.0542748736552793,-0.1786551823551613,-0.0743885769927138,0.1716537093065978,0.1026067256713858,-0.1085652225409884,0.1188969691567596,-0.3549164095911167,-0.1004941934055139,-0.1836936749345694,-0.1517173663867564,-0.1458136923589459,-0.013975428409811,0.1569597190656463,0.0176801019400367,0.0255379183662834,-0.4090799186387912,-0.1266837503055289,-0.1029212954120577,0.1511459216292421,0.0939313826088825,0.0671101544695274,0.0771861517425979,-0.0580327540288222,0.2263822802727971,-0.1325202894087391,-0.1004469472084872,-0.2375241270435421,-0.0217451687432117,0.0833212338048389,0.028654492323403,0.245832294077531,0.2048266175129734
Breath_response,-0.2348942878819697,-0.2159219544436887,-0.0190568940311854,-0.380743582096366,0.1573321854681812,-0.2142488768359864,0.1537449556627172,-0.0494848558404386,-0.1958134433951643,0.3306900533338547,0.0011038013620036,0.1617482304301968,-0.2358636291727144,0.0628883064965898,0.0101702694528627,0.0287519391213746,0.0454576054054004,-0.1602427925908116,-0.0344966234681334,0.0485468249374173,0.2365476353764091,0.2307071367013066,-0.2922398677676188,0.1241235270847651,0.2851495274153854,0.1286796816140313,-0.1113868596871335,-0.0966477025317385,0.1962520021165351,-0.2192885121231676,0.1655076609070579,0.1062795642926814,-0.1621748264034083,0.0107226147038548,-0.0564824472401125,-0.0966958155483934,0.010237843255444,-0.0997366382459922
Sleep_naptime,-0.2112249293923875,-0.0465364534112488,-0.1616040168979336,0.051339336556969,,0.039208310600189,,,0.0014086111026161,-0.0730390056789926,0.0624746706487082,-0.1515578212681193,0.1248760656516743,-0.1435170569159167,0.1692415393832638,,0.2659771757596266,,,-0.1212796677998644,,0.2112786517771918,0.1008196542652711,,-0.0896610781361167,-0.0027790704512504,,0.080617094027557,-0.0151271281636254,-0.3414195280954738,,-0.244202693329648,0.1706512240732684,,,0.1776741894211169,,-0.1429963090976587
past_day_exercise_moderate,0.1963872269650394,-0.2507878592530697,-0.2291300093143674,-0.1580956042608553,-0.3077128493874904,0.0509216826064358,-0.0286255721947617,0.0965552194817481,-0.1815995901262268,0.2992721679749135,-0.1738886248149407,-0.3224247526634753,-0.102936311244734,-0.0684904815041059,-0.0958391261820756,-0.2922869322993419,-0.2170779940987278,,0.1489985851143691,0.1331328654641884,,-0.4249914313894363,,,-0.0032994245216692,-0.0698002081077502,-0.3825204039010263,-0.2238873232620577,-0.1914485788382466,-0.3854414640268413,-0.4760854986816685,,,-0.0153598414892197,-0.2893800134185433,0.1140766419211497,0.2261675359190061,-0.2020362387099242
Breath_consistency,-0.1841623453577879,0.0240231808050731,-0.0032709594232631,0.0509669818570035,0.0961888716843383,-0.0338287700267346,-0.0198841980235072,0.3026693673671431,-0.1080484538256185,-0.0502050693007705,-0.1413963872642677,0.1683407514639378,-0.0029543905879593,0.0465271210665827,0.103870533301469,0.0020146503888851,0.051096729439151,-0.2776796639524824,0.1515280627036123,0.0548361747949813,0.0165098310179907,-0.0523164443796569,-0.0546098938278254,-0.0467489297886263,0.1568922535087658,-0.1297848363339052,0.1693636208790105,0.2602464333805916,0.2209062358879411,0.0431377234477127,-0.3125673104026675,0.0848646013112058,0.0235869320601194,-0.0428904588154192,-0.2293404937391345,0.0225135775432813,0.0849684738315834,0.062490848776323
time_of_day,-0.1446583298214733,-0.0609923534606457,0.1770168443870869,-0.0486632832410076,-0.0128687571105248,-0.1672336235739035,-0.2679910280723813,0.0752080527194123,-0.0084984173716199,-0.0689282729479361,0.1763798562877085,-0.1165987376763437,-0.1593180929325425,-0.1213801331909075,-0.1190595855196321,0.3474961478597737,0.0194857003557892,-0.3030578014522258,-0.1216546790892732,0.0915710155378938,0.0952667541627747,0.0114878138686625,-0.0228953608322454,-0.1485909581569671,0.0556072193783248,-0.2381410726672125,-0.0726056250596652,0.1967585533217922,-0.1685229104676225,-0.0766151355944558,-0.0723066758911795,0.1413008742332593,0.0503007037760725,-0.0055476364205435,0.1171829505145745,-0.2025324946955285,0.3104568070040506,-0.1304074730400181
Connect_chatpeople,-0.124209286948573,-0.0110170255339383,-0.4162601146005592,0.2720515782997315,0.4600694895193733,,0.0088781763990645,-0.1150270046346987,0.1182145023955112,-0.0230077448802962,0.1450537547468793,-0.1189074250873978,-0.2489678913563572,-0.2520701326650185,0.1638162860513706,0.2249854193578547,-0.1401712750115473,-0.3747555597227456,0.3426139211824874,-0.1594185593723503,-0.2159261509934686,-0.0687981053525922,-0.1531681714584296,-0.1230201346092513,0.2566372731219941,-0.2770516432222258,-0.2162363194263782,0.1064808408869579,0.1274724531484988,-0.0838961188919602,-0.1824166673135065,0.3366411047324351,0.056601540410808,-0.1490944749365248,-0.1024162134193492,-0.0104398137884287,-0.2420712459789492,-0.1417484307225076
past_day_fats,0.1016821708097052,-0.1127196295106076,-0.0336389769741554,0.2522683042797904,0.307063391084944,-0.4871223004474547,-0.0087228977825559,-0.0122234390495193,-0.1865197797711925,0.1974235895446091,0.0798179509164194,-0.1301445998065272,-0.1499240208743232,0.1121735716443857,0.2276980088025457,-0.3523016552893454,-0.0374153101654778,0.2197673458093055,0.1736566656981155,-0.0379085543361514,0.168444730483847,-0.2880310481166477,0.0001027706014787,-0.1605406796155584,-0.0818107185014857,-0.1425357650031948,-0.2172755216695291,-0.0050204415693862,0.2853856792739008,-0.1875777230066114,-0.1143621073717393,-0.0103424028824887,-0.2712362736510906,0.1794261679818777,-0.2188480779441655,-0.1246477850961828,0.1812213004243567,0.073606352557232
past_day_exercise_mild,0.0897781045254922,0.1587199522905887,-0.1479112244011392,-0.5755534300957732,0.231855797015043,0.0684694345614666,-0.0895456940237994,0.0477129785538207,0.3805631399993899,0.0655925562642117,0.3060240064157678,0.0,-0.248341537960659,0.1280218250618144,0.0434938041712845,,0.1430882317962625,-0.2854426789587748,0.2012978977356248,-0.0267552747280344,-0.0091988123367199,0.1176593064848942,-0.2879188029068069,0.0558793765900859,0.3531463258458331,-0.1932357978999796,-0.2920527263555843,-0.0497118571456481,-0.2456054679278911,0.072211801078813,0.2236215999577633,0.3745653814963356,-0.0428052831385821,-0.0244864102764539,-0.0458277937856573,-0.2059770523302035,-0.1164471205620067,0.2050980486312671
